product_category_name,Sub category,main category
beleza_saude,health_beauty,Health & Beauty
informatica_acessorios,computers_accessories,Electronics & Tech
automotivo,auto,Automotive
cama_mesa_banho,bed_bath_table,Home & Furniture
moveis_decoracao,furniture_decor,Home & Furniture
esporte_lazer,sports_leisure,Sports & Leisure
perfumaria,perfumery,Health & Beauty
utilidades_domesticas,housewares,Home & Furniture
telefonia,telephony,Electronics & Tech
relogios_presentes,watches_gifts,Gifts & Decoration
alimentos_bebidas,food_drink,Food & Drinks
bebes,baby,"Baby, Kids & Pet"
papelaria,stationery,Marketplace & Retail
tablets_impressao_imagem,tablets_printing_image,Electronics & Tech
brinquedos,toys,Sports & Leisure
telefonia_fixa,fixed_telephony,Electronics & Tech
ferramentas_jardim,garden_tools,Tools & Industrial
fashion_bolsas_e_acessorios,fashion_bags_accessories,Fashion & Accessories
eletroportateis,small_appliances,Food & Drinks
consoles_games,consoles_games,Electronics & Tech
audio,audio,Electronics & Tech
fashion_calcados,fashion_shoes,Fashion & Accessories
cool_stuff,cool_stuff,Sports & Leisure
malas_acessorios,luggage_accessories,Fashion & Accessories
climatizacao,air_conditioning,Electronics & Tech
construcao_ferramentas_construcao,construction_tools_construction,Tools & Industrial
moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture,Home & Furniture
construcao_ferramentas_jardim,costruction_tools_garden,Tools & Industrial
fashion_roupa_masculina,fashion_male_clothing,Fashion & Accessories
pet_shop,pet_shop,"Baby, Kids & Pet"
moveis_escritorio,office_furniture,Marketplace & Retail
market_place,market_place,Marketplace & Retail
eletronicos,electronics,Electronics & Tech
eletrodomesticos,home_appliances,Home & Furniture
artigos_de_festas,party_supplies,Sports & Leisure
casa_conforto,home_confort,Home & Furniture
construcao_ferramentas_ferramentas,costruction_tools_tools,Tools & Industrial
agro_industria_e_comercio,agro_industry_and_commerce,Tools & Industrial
moveis_colchao_e_estofado,furniture_mattress_and_upholstery,Home & Furniture
livros_tecnicos,books_technical,Sports & Leisure
casa_construcao,home_construction,Home & Furniture
instrumentos_musicais,musical_instruments,Sports & Leisure
moveis_sala,furniture_living_room,Home & Furniture
construcao_ferramentas_iluminacao,construction_tools_lights,Tools & Industrial
industria_comercio_e_negocios,industry_commerce_and_business,Tools & Industrial
alimentos,food,Food & Drinks
artes,art,Sports & Leisure
moveis_quarto,furniture_bedroom,Home & Furniture
livros_interesse_geral,books_general_interest,Sports & Leisure
construcao_ferramentas_seguranca,construction_tools_safety,Tools & Industrial
fashion_underwear_e_moda_praia,fashion_underwear_beach,Fashion & Accessories
fashion_esporte,fashion_sport,Fashion & Accessories
sinalizacao_e_seguranca,signaling_and_security,Tools & Industrial
pcs,computers,Electronics & Tech
artigos_de_natal,christmas_supplies,Sports & Leisure
fashion_roupa_feminina,fashio_female_clothing,Fashion & Accessories
eletrodomesticos_2,home_appliances_2,Home & Furniture
livros_importados,books_imported,Sports & Leisure
bebidas,drinks,Food & Drinks
cine_foto,cine_photo,Electronics & Tech
la_cuisine,la_cuisine,Food & Drinks
musica,music,Sports & Leisure
casa_conforto_2,home_comfort_2,Home & Furniture
portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee,Food & Drinks
cds_dvds_musicais,cds_dvds_musicals,Electronics & Tech
dvds_blu_ray,dvds_blu_ray,Electronics & Tech
flores,flowers,Gifts & Decoration
artes_e_artesanato,arts_and_craftmanship,Gifts & Decoration
fraldas_higiene,diapers_and_hygiene,Health & Beauty
fashion_roupa_infanto_juvenil,fashion_childrens_clothes,Fashion & Accessories
seguros_e_servicos,security_and_services,Tools & Industrial
pc_gamer,computers,Electronics & Tech
moveis_colchao_e_estofado,furniture_mattress_and_upholstery,Home & Furniture
